CANDIDATO_ID;CANDIDATO;CURSO_ID;CURSO;PROCESSO_ID;PROCESSO;PERIODO_LETIVO;FORMA_PAGAMENTO_ID;FORMA_PAGAMENTO;BOLSA_ESTUDO;CALL_CENTER;VALOR;DATA_PREINSCRICAO;HORA_PREINSCRICAO;DATA_INSCRICAO;HORA_INSCRICAO;DATA_PAGINSCRICAO;HORA_PAGINSCRICAO
14275;Candidato 14275;4;Curso 4;21;Processo 21;2019/2;;;;;;20190430;2329;;;;
14276;Candidato 14276;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1849;;;;
14277;Candidato 14277;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;1929;;;;
14278;Candidato 14278;12;Curso 12;15;Processo 15;2019/1;;;;;;20190214;1932;;;;
14279;Candidato 14279;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2003;20190214;2004;;
14280;Candidato 14280;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2005;20190214;2007;;
14281;Candidato 14281;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2018;20190214;2019;;
14282;Candidato 14282;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2046;20190214;2048;;
14283;Candidato 14283;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2050;20190214;2054;;
14284;Candidato 14284;20;Curso 20;15;Processo 15;2019/1;;;;;;20190214;2105;;;;
14285;Candidato 14285;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2115;20190214;2118;;
14286;Candidato 14286;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;2115;;;;
14287;Candidato 14287;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2124;20190214;2128;;
14288;Candidato 14288;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2127;20190215;1133;;
14289;Candidato 14289;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2134;20190214;2139;;
14290;Candidato 14290;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2147;20190214;2148;;
14291;Candidato 14291;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190214;2147;20190214;2201;;
14292;Candidato 14292;4;Curso 4;16;Processo 16;2019/1;;;;;;20190214;2158;;;;
14293;Candidato 14293;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190214;2214;20190214;2234;20190215;0
