CANDIDATO_ID;CANDIDATO;CURSO_ID;CURSO;PROCESSO_ID;PROCESSO;PERIODO_LETIVO;FORMA_PAGAMENTO_ID;FORMA_PAGAMENTO;BOLSA_ESTUDO;CALL_CENTER;VALOR;DATA_PREINSCRICAO;HORA_PREINSCRICAO;DATA_INSCRICAO;HORA_INSCRICAO;DATA_PAGINSCRICAO;HORA_PAGINSCRICAO
14124;Candidato 14124;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;1844;20190212;1846;;
14125;Candidato 14125;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;1851;20190212;1856;;
14126;Candidato 14126;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;1901;;;;
14127;Candidato 14127;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190212;1906;20190212;1926;20190212;0
14128;Candidato 14128;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190212;1906;20190213;1032;20190214;1617
14129;Candidato 14129;0;Curso 0;16;Processo 16;2019/1;;;;;;20190212;1911;;;;
14130;Candidato 14130;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190212;1915;20190213;1314;20190213;1316
14131;Candidato 14131;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;1921;;;;
14132;Candidato 14132;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;1935;20190212;1938;;
14133;Candidato 14133;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;1944;20190212;1950;;
14134;Candidato 14134;3;Curso 3;15;Processo 15;2019/1;;;;;;20190215;5;;;;
14134;Candidato 14134;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190212;1949;20190212;1951;20190213;0
14135;Candidato 14135;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;2013;20190212;2100;;
14136;Candidato 14136;6;Curso 6;15;Processo 15;2019/1;;;;;;20190212;2140;;;;
14136;Candidato 14136;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;2017;;;;
14137;Candidato 14137;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;2026;;;;
14138;Candidato 14138;3;Curso 3;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190212;2034;20190212;2039;20190212;0
14139;Candidato 14139;17;Curso 17;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190212;2042;20190212;2057;20190212;0
14139;Candidato 14139;18;Curso 18;38;Processo 38;2020/2;;;;;;20200714;1306;;;;
14140;Candidato 14140;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;2047;20190212;2049;;
14141;Candidato 14141;2;Curso 2;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190212;2049;20190212;2058;20190212;0
14142;Candidato 14142;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;2115;20190212;2117;;
14143;Candidato 14143;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;2121;;;;
14144;Candidato 14144;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;2128;;;;
14145;Candidato 14145;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;2133;;;;
14146;Candidato 14146;12;Curso 12;15;Processo 15;2019/1;;;0;0;;20190212;2157;20190212;2202;;
14147;Candidato 14147;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;2212;20190212;2214;;
14148;Candidato 14148;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;2222;20190212;2236;;
14149;Candidato 14149;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190212;2223;20190212;2228;20190213;0
14150;Candidato 14150;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;2226;20190212;2228;;
14151;Candidato 14151;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;2234;;;;
14152;Candidato 14152;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;2306;;;;
14153;Candidato 14153;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190212;2307;20190215;1559;;
14154;Candidato 14154;12;Curso 12;15;Processo 15;2019/1;3;Isento;0;0;0.00;20190212;2311;20190212;2312;20190212;0
14155;Candidato 14155;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190212;2322;20190212;2328;20190213;0
14156;Candidato 14156;4;Curso 4;16;Processo 16;2019/1;;;;;;20190212;2326;;;;
